np_id,SMILES,target_id,activity_value
NPC108994,C[C@H]1Oc2c3c(c4c(-c5ccccc5)cc(=O)oc4c2[C@@H](O)[C@H]1C)O[C@@H]1[C@H]3C1(C)C,NPT459,5.0
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT109,4.212187604403958
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT110,4.701567985055927
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT12,4.759878285950778
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT1821,1.1398790864012365
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT208,4.6020599913279625
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT30,4.414931586878242
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT31,4.80222623769107
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT324,4.472024697700282
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT570,3.374137093999413
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT66,4.95676853348905
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT668,4.7923916894982534
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,NPT740,3.7403626894942437
NPC109151,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N=C(O)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,NPT204,4.460000074822121
NPC109238,COc1cc(C=O)cc2c(C)c(-c3ccc4c(c3)OCO4)oc12,NPT324,5.089905111439398
NPC10937,CC(C)=CCc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,NPT441,2.6020599913279625
NPC109403,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,NPT319,0.9566485792052033
NPC109403,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,NPT459,4.666673949126104
NPC109713,C=CC(C)(C)c1cc(O)c(O)c2c(=O)c3cccc(O)c3oc12,NPT178,4.864511081058392
NPC10990,C=CC(C)(C)c1cc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,NPT204,4.4620983811351556
NPC109955,C=CCc1ccc(O)c(O)c1,NPT967,4.222716471147583
NPC110038,COc1c(C)c(O)c2c(c1C)O[C@H](c1ccccc1)CC2=O,NPT441,4.096910013008056
NPC110070,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1,NPT319,5.0
NPC110072,CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,NPT261,5.230448921378274
NPC110072,CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,NPT43,5.146128035678238
NPC110303,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)C=C2,NPT178,4.862727528317975
NPC110677,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,NPT43,4.301029995663981
NPC110677,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,NPT740,3.3443922736851106
NPC110704,O=C(O)C(=O)c1ccccc1,NPT178,6.431363764158987
NPC110800,O=Cc1c(Br)c(O)c(O)c(Br)c1Br,NPT41,-0.6020599913279624
NPC110882,CC(C)=CCc1c(O)cc(C(=O)[C@H]2[C@@H](c3c(O)ccc(C(=O)/C=C/c4ccc(O)cc4O)c3O)C=C(C)C[C@@H]2c2ccc(O)cc2O)cc1O,NPT178,3.4313637641589874
NPC11089,COc1cc2c(c3c1C=COC=C3)O[C@@H](C(C)(C)O)C2,NPT324,4.365487984890899
NPC110899,COc1cc(C(=O)O)cc(OC)c1O,NPT41,2.2357808703275603
NPC110899,COc1cc(C(=O)O)cc(OC)c1O,NPT43,5.0
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT1028,5.123851640967086
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT1249,5.123851640967086
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT30,3.7872360664918787
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT31,5.064570666538859
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT324,4.239218814960118
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT612,5.123851640967086
NPC111088,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NPT713,5.625997998826051
NPC111112,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,NPT178,3.792391689498254
NPC111112,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,NPT459,4.812913356642856
NPC111112,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,NPT740,4.0
NPC111132,NCCc1cnc[nH]1,NPT713,6.0
NPC111234,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,NPT178,4.290034611362518
NPC111347,CC1(C)CCc2cc3ccc(=O)oc3cc2O1,NPT740,5.698970004336019
NPC111474,CC1=CC(=O)C(C)=CC1=O,NPT459,2.3010299956639813
NPC111602,CC[C@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,NPT439,3.294466226161593
NPC11173,O=C1/C(=C/c2ccc(Cl)cc2)Oc2ccccc21,NPT261,2.8506462351830666
NPC111786,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc2c1OC(C)(C)C=C2,NPT178,4.593286067020458
NPC111788,Cn1c(=O)c2nc[nH]c2n(C)c1=O,NPT1028,5.117271295655764
NPC111788,Cn1c(=O)c2nc[nH]c2n(C)c1=O,NPT1249,5.123851640967086
NPC111788,Cn1c(=O)c2nc[nH]c2n(C)c1=O,NPT612,5.123851640967086
NPC111788,Cn1c(=O)c2nc[nH]c2n(C)c1=O,NPT713,5.123851640967086
NPC111888,COc1cc(C(=O)O)ccc1O,NPT43,5.0
